"","Figure","Panel","Weights","Ensemble","Comparison","Fit","c","d","e","Pr90"
"111","S2","H","uniform_by_type_weights","SVR","KNN","EXD3",0.988694681517977,1.05103469726425,1.0799444224059,3
"112","S2","H","uniform_by_type_weights","SVR","RNR","EXD3",0.998822229788042,1.06072189594101,1.0799444224059,3
"113","S2","H","uniform_by_type_weights","SVR","RF","EXD3",0.969377101792564,1.01941900198686,1.0799444224059,3
"114","S2","H","uniform_by_type_weights","SVR","SVR","EXD3",0.959245906987833,1.15980916770492,1.0799444224059,3
"115","S2","H","uniform_by_type_weights","SVR","DNN-CO","EXD3",0.920201735288611,0.98310329382438,1.0799444224059,3
"116","S2","H","uniform_by_type_weights","SVR","DNN-SO","EXD3",0.9499894909214,1.04283855324296,1.0799444224059,3
"117","S2","I","uniform_by_type_weights","DNN-CO","LM","EXD3",0.91649160934039,0.92348114974654,1.19913828725908,3
"118","S2","I","uniform_by_type_weights","DNN-CO","BLUP","EXD3",0.892281857927886,0.924932836959453,1.19913828725908,3
"119","S2","I","uniform_by_type_weights","DNN-CO","KNN","EXD3",0.966285243282718,0.970651127576042,1.19913828725908,3
"120","S2","I","uniform_by_type_weights","DNN-CO","RNR","EXD3",0.974635789506425,0.983380529284662,1.19913828725908,3
"121","S2","I","uniform_by_type_weights","DNN-CO","RF","EXD3",0.93082645605995,0.941110394723311,1.19913828725908,3
"122","S2","I","uniform_by_type_weights","DNN-CO","SVR","EXD3",0.919923012818526,0.976264068321972,1.19913828725908,3
"123","S2","I","uniform_by_type_weights","DNN-CO","DNN-CO","EXD3",0.936904843947241,0.960483527394147,1.19913828725908,3
"124","S2","I","uniform_by_type_weights","DNN-CO","DNN-SO","EXD3",0.942780870384589,0.968458415377809,1.19913828725908,3
"125","S2","J","uniform_by_type_weights","DNN-SO","LM","EXD3",0.947224214983586,0.966113943686324,1.23070839752984,3
"126","S2","J","uniform_by_type_weights","DNN-SO","BLUP","EXD3",0.917563418347798,0.957588199097702,1.23070839752984,3
"127","S2","J","uniform_by_type_weights","DNN-SO","KNN","EXD3",1.00348278630965,1.02762027836997,1.23070839752984,3
"128","S2","J","uniform_by_type_weights","DNN-SO","RNR","EXD3",1.01572403988139,1.04492160173989,1.23070839752984,3
"129","S2","J","uniform_by_type_weights","DNN-SO","RF","EXD3",0.977244539560433,1.00477471651731,1.23070839752984,3
"130","S2","J","uniform_by_type_weights","DNN-SO","SVR","EXD3",0.949604165544791,1.03019238113096,1.23070839752984,3
"131","S2","J","uniform_by_type_weights","DNN-SO","DNN-CO","EXD3",0.942742609484272,0.967875924835031,1.23070839752984,3
"132","S2","J","uniform_by_type_weights","DNN-SO","DNN-SO","EXD3",0.985099691731022,1.07714713662992,1.23070839752984,3
"133","S4","A","inv_std_weights","Any","","EXD3",0.92908996646302,1.06772467859396,2.16466504266521,5
"134","S4","B","inv_std_weights","All","","EXD3",0.886796560812927,0.927838993504279,174.033316110068,401
"135","S4","C","inv_std_weights","LM","BLUP","EXD3",0.898576596489489,0.909271359795407,1.44821818938394,4
"136","S4","C","inv_std_weights","LM","SVR","EXD3",0.944187427679223,0.975806534557755,1.44821818938394,4
"137","S4","C","inv_std_weights","LM","DNN-CO","EXD3",0.921998080172755,0.930155798603806,1.44821818938394,4
"138","S4","C","inv_std_weights","LM","DNN-SO","EXD3",0.94768493765758,0.963358745537114,1.44821818938394,4
"139","S4","C","inv_std_weights","LM","LM","Linear",0.973200813102806,NA,NA,NA
"140","S4","C","inv_std_weights","LM","KNN","Linear",0.973200813102806,NA,NA,NA
"141","S4","C","inv_std_weights","LM","RNR","Linear",0.973200813102806,NA,NA,NA
"142","S4","C","inv_std_weights","LM","RF","Linear",0.973200813102806,NA,NA,NA
"143","S4","D","inv_std_weights","BLUP","LM","EXD3",0.898608891643284,0.908939351566854,1.44505137596098,4
"144","S4","D","inv_std_weights","BLUP","BLUP","EXD3",0.902816031835177,0.978670847451911,1.44505137596098,4
"145","S4","D","inv_std_weights","BLUP","KNN","EXD3",0.925699389391327,0.945227233000039,1.44505137596098,4
"146","S4","D","inv_std_weights","BLUP","RNR","EXD3",0.936370822112565,0.955168226758475,1.44505137596098,4
"147","S4","D","inv_std_weights","BLUP","RF","EXD3",0.934282503814681,0.950785869059694,1.44505137596098,4
"148","S4","D","inv_std_weights","BLUP","SVR","EXD3",0.887607790726539,0.940831806673988,1.44505137596098,4
"149","S4","D","inv_std_weights","BLUP","DNN-CO","EXD3",0.891299336000671,0.90811811960104,1.44505137596098,4
"150","S4","D","inv_std_weights","BLUP","DNN-SO","EXD3",0.921961001910639,0.973023698956332,1.44505137596098,4
"151","S4","E","inv_std_weights","KNN","BLUP","EXD3",0.925918741030355,0.94902928355203,1.17696023779683,3
"152","S4","E","inv_std_weights","KNN","SVR","EXD3",0.983748395322172,1.0514218750308,1.17696023779683,3
"153","S4","E","inv_std_weights","KNN","DNN-CO","EXD3",0.96340344777509,0.983445475384201,1.17696023779683,3
"154","S4","E","inv_std_weights","KNN","DNN-SO","EXD3",0.996295952470579,1.02380960975605,1.17696023779683,3
"155","S4","E","inv_std_weights","KNN","LM","Linear",1.03350079375994,NA,NA,NA
"156","S4","E","inv_std_weights","KNN","KNN","Linear",1.03350079375994,NA,NA,NA
"157","S4","E","inv_std_weights","KNN","RNR","Linear",1.03350079375994,NA,NA,NA
"158","S4","E","inv_std_weights","KNN","RF","Linear",1.03350079375994,NA,NA,NA
"159","S4","F","inv_std_weights","RNR","BLUP","EXD3",0.936459536141784,0.956491215046124,1.33513717735916,4
"160","S4","F","inv_std_weights","RNR","SVR","EXD3",0.992234528330989,1.05759617553137,1.33513717735916,4
"161","S4","F","inv_std_weights","RNR","DNN-CO","EXD3",0.971636276093942,0.98681623958615,1.33513717735916,4
"162","S4","F","inv_std_weights","RNR","DNN-SO","EXD3",1.00527495695986,1.03868849330553,1.33513717735916,4
"163","S4","F","inv_std_weights","RNR","LM","Linear",1.04291454973863,NA,NA,NA
"164","S4","F","inv_std_weights","RNR","KNN","Linear",1.04291454973863,NA,NA,NA
"165","S4","F","inv_std_weights","RNR","RNR","Linear",1.04291454973863,NA,NA,NA
"166","S4","F","inv_std_weights","RNR","RF","Linear",1.04291454973863,NA,NA,NA
"167","S4","G","inv_std_weights","RF","BLUP","EXD3",0.933854023479528,0.955749218704706,1.45793296919603,4
"168","S4","G","inv_std_weights","RF","RF","EXD3",1.10577996433773,1.10824361285239,1.45793296919603,4
"169","S4","G","inv_std_weights","RF","SVR","EXD3",0.976776299797349,1.00929027963842,1.45793296919603,4
"170","S4","G","inv_std_weights","RF","DNN-CO","EXD3",0.946266871172131,0.970041761675814,1.45793296919603,4
"171","S4","G","inv_std_weights","RF","DNN-SO","EXD3",0.976047429574263,0.994761321511422,1.45793296919603,4
"172","S4","G","inv_std_weights","RF","LM","Linear",1.0120008905662,NA,NA,NA
"173","S4","G","inv_std_weights","RF","KNN","Linear",1.0120008905662,NA,NA,NA
"174","S4","G","inv_std_weights","RF","RNR","Linear",1.0120008905662,NA,NA,NA
"175","S4","H","inv_std_weights","SVR","LM","EXD3",0.944407632014524,0.980634067892371,1.23439376175579,3
"176","S4","H","inv_std_weights","SVR","BLUP","EXD3",0.888103436680944,0.948406625949232,1.23439376175579,3
"177","S4","H","inv_std_weights","SVR","KNN","EXD3",0.983607923123822,1.0484677710141,1.23439376175579,3
"178","S4","H","inv_std_weights","SVR","RNR","EXD3",0.99250043956553,1.06240558005492,1.23439376175579,3
"179","S4","H","inv_std_weights","SVR","RF","EXD3",0.977108356341234,1.01438936911881,1.23439376175579,3
"180","S4","H","inv_std_weights","SVR","SVR","EXD3",0.959888753321913,1.13738910401699,1.23439376175579,3
"181","S4","H","inv_std_weights","SVR","DNN-CO","EXD3",0.919452174838241,0.99985378616566,1.23439376175579,3
"182","S4","H","inv_std_weights","SVR","DNN-SO","EXD3",0.95356847896099,1.00412636554627,1.23439376175579,3
"183","S4","I","inv_std_weights","DNN-CO","LM","EXD3",0.922041348486106,0.93897282921081,1.04243208997972,3
"184","S4","I","inv_std_weights","DNN-CO","BLUP","EXD3",0.891454033462521,0.917138998481507,1.04243208997972,3
"185","S4","I","inv_std_weights","DNN-CO","KNN","EXD3",0.963500757005716,0.986025062775854,1.04243208997972,3
"186","S4","I","inv_std_weights","DNN-CO","RNR","EXD3",0.971835925830676,0.990566355589197,1.04243208997972,3
"187","S4","I","inv_std_weights","DNN-CO","RF","EXD3",0.946651301023038,0.979357417673889,1.04243208997972,3
"188","S4","I","inv_std_weights","DNN-CO","SVR","EXD3",0.920030928344225,1.01443706973507,1.04243208997972,3
"189","S4","I","inv_std_weights","DNN-CO","DNN-CO","EXD3",0.938793231405707,0.947056235783771,1.04243208997972,3
"190","S4","I","inv_std_weights","DNN-CO","DNN-SO","EXD3",0.94740480986757,0.983379105686971,1.04243208997972,3
"191","S4","J","inv_std_weights","DNN-SO","LM","EXD3",0.947590649546712,0.962529351440287,1.56597909159205,4
"192","S4","J","inv_std_weights","DNN-SO","BLUP","EXD3",0.921676223540477,0.969991328809846,1.56597909159205,4
"193","S4","J","inv_std_weights","DNN-SO","KNN","EXD3",0.995832675535215,1.01831374010645,1.56597909159205,4
"194","S4","J","inv_std_weights","DNN-SO","RNR","EXD3",1.00495926740922,1.0345956070741,1.56597909159205,4
"195","S4","J","inv_std_weights","DNN-SO","RF","EXD3",0.975570001521508,0.997908301089477,1.56597909159205,4
"196","S4","J","inv_std_weights","DNN-SO","SVR","EXD3",0.952850482518598,0.995467767849539,1.56597909159205,4
"197","S4","J","inv_std_weights","DNN-SO","DNN-CO","EXD3",0.946845132977276,0.973132949866336,1.56597909159205,4
"198","S4","J","inv_std_weights","DNN-SO","DNN-SO","EXD3",0.984062361837747,1.06655777132042,1.56597909159205,4
"199","S3","A","inv_var_weights","Any","","EXD3",0.926334371475196,1.05930073077384,2.47177576488552,6
"200","S3","B","inv_var_weights","All","","EXD3",0.91452875376243,0.925639783447891,28.4095375400798,66
"201","S3","C","inv_var_weights","LM","BLUP","EXD3",0.905950338974266,0.918810396388549,1.24324354913962,3
"202","S3","C","inv_var_weights","LM","SVR","EXD3",0.946769237037214,0.968015715024744,1.24324354913962,3
"203","S3","C","inv_var_weights","LM","DNN-CO","EXD3",0.926638255745154,0.933031057678498,1.24324354913962,3
"204","S3","C","inv_var_weights","LM","DNN-SO","EXD3",0.948040465877837,0.959814643396788,1.24324354913962,3
"205","S3","C","inv_var_weights","LM","LM","Linear",0.968726847744375,NA,NA,NA
"206","S3","C","inv_var_weights","LM","KNN","Linear",0.968726847744375,NA,NA,NA
"207","S3","C","inv_var_weights","LM","RNR","Linear",0.968726847744375,NA,NA,NA
"208","S3","C","inv_var_weights","LM","RF","Linear",0.968726847744375,NA,NA,NA
"209","S3","D","inv_var_weights","BLUP","LM","EXD3",0.905862775981986,0.916659034054626,1.06708318590848,3
"210","S3","D","inv_var_weights","BLUP","BLUP","EXD3",0.902887038495844,0.929317096378969,1.06708318590848,3
"211","S3","D","inv_var_weights","BLUP","KNN","EXD3",0.920343312439841,0.945741521554526,1.06708318590848,3
