"","Ensemble","Model1","Model2","Fit","RMSE"
"206","inv_var_weights","BLUP","SVR","EXD3",0.887340737529345
"207","inv_var_weights","BLUP","DNN-CO","EXD3",0.892463341815144
"208","inv_var_weights","BLUP","DNN-SO","EXD3",0.932454919999315
"209","inv_var_weights","KNN","BLUP","EXD3",0.919716822013656
"210","inv_var_weights","KNN","SVR","EXD3",0.977747073656087
"211","inv_var_weights","KNN","DNN-CO","EXD3",0.957258748068787
"212","inv_var_weights","KNN","DNN-SO","EXD3",0.991881640806738
"213","inv_var_weights","KNN","LM","Linear",1.03477643951091
"214","inv_var_weights","KNN","KNN","Linear",1.03477643951091
"215","inv_var_weights","KNN","RNR","Linear",1.03477643951091
"216","inv_var_weights","KNN","RF","Linear",1.03477643951091
"217","inv_var_weights","RNR","BLUP","EXD3",0.927950971299926
"218","inv_var_weights","RNR","SVR","EXD3",0.987384048122146
"219","inv_var_weights","RNR","DNN-CO","EXD3",0.963344355675626
"220","inv_var_weights","RNR","DNN-SO","EXD3",0.998166732777448
"221","inv_var_weights","RNR","LM","Linear",1.04272705666106
"222","inv_var_weights","RNR","KNN","Linear",1.04272705666106
"223","inv_var_weights","RNR","RNR","Linear",1.04272705666106
"224","inv_var_weights","RNR","RF","Linear",1.04272705666106
"225","inv_var_weights","RF","BLUP","EXD3",0.948100418154377
"226","inv_var_weights","RF","RF","EXD3",1.10584598013212
"227","inv_var_weights","RF","SVR","EXD3",0.987190996950489
"228","inv_var_weights","RF","DNN-CO","EXD3",0.958600909368103
"229","inv_var_weights","RF","DNN-SO","EXD3",0.976311895573428
"230","inv_var_weights","RF","LM","Linear",1.01666933493995
"231","inv_var_weights","RF","KNN","Linear",1.01666933493995
"232","inv_var_weights","RF","RNR","Linear",1.01666933493995
"233","inv_var_weights","SVR","LM","EXD3",0.946700375396656
"234","inv_var_weights","SVR","BLUP","EXD3",0.886541478316739
"235","inv_var_weights","SVR","KNN","EXD3",0.977524041642082
"236","inv_var_weights","SVR","RNR","EXD3",0.986392032733179
"237","inv_var_weights","SVR","RF","EXD3",0.985662888499189
"238","inv_var_weights","SVR","SVR","EXD3",0.956941398220398
"239","inv_var_weights","SVR","DNN-CO","EXD3",0.920426960993141
"240","inv_var_weights","SVR","DNN-SO","EXD3",0.956031757984496
"241","inv_var_weights","DNN-CO","LM","EXD3",0.926971161442786
"242","inv_var_weights","DNN-CO","BLUP","EXD3",0.892748993892901
"243","inv_var_weights","DNN-CO","KNN","EXD3",0.957566475973763
"244","inv_var_weights","DNN-CO","RNR","EXD3",0.963296077575167
"245","inv_var_weights","DNN-CO","RF","EXD3",0.958191477517619
"246","inv_var_weights","DNN-CO","SVR","EXD3",0.921270411458135
"247","inv_var_weights","DNN-CO","DNN-CO","EXD3",0.938533514190197
"248","inv_var_weights","DNN-CO","DNN-SO","EXD3",0.952831218906217
"249","inv_var_weights","DNN-SO","LM","EXD3",0.947967597677022
"250","inv_var_weights","DNN-SO","BLUP","EXD3",0.931878848232976
"251","inv_var_weights","DNN-SO","KNN","EXD3",0.991649872526956
"252","inv_var_weights","DNN-SO","RNR","EXD3",0.997443203345561
"253","inv_var_weights","DNN-SO","RF","EXD3",0.974744186658601
"254","inv_var_weights","DNN-SO","SVR","EXD3",0.955950531052002
"255","inv_var_weights","DNN-SO","DNN-CO","EXD3",0.95227874263011
"256","inv_var_weights","DNN-SO","DNN-SO","EXD3",0.986071736306529
"257","inv_rmse_weights","LM","BLUP","EXD3",0.884130804037896
"258","inv_rmse_weights","LM","SVR","EXD3",0.943982203119948
"259","inv_rmse_weights","LM","DNN-CO","EXD3",0.915281481334268
"260","inv_rmse_weights","LM","DNN-SO","EXD3",0.948157191176453
"261","inv_rmse_weights","LM","LM","Linear",1.00530198635303
"262","inv_rmse_weights","LM","KNN","Linear",1.00530198635303
"263","inv_rmse_weights","LM","RNR","Linear",1.00530198635303
"264","inv_rmse_weights","LM","RF","Linear",1.00530198635303
"265","inv_rmse_weights","BLUP","LM","EXD3",0.885397648149793
"266","inv_rmse_weights","BLUP","BLUP","EXD3",0.902385452478348
"267","inv_rmse_weights","BLUP","KNN","EXD3",0.977948058453848
"268","inv_rmse_weights","BLUP","RNR","EXD3",0.995775774217077
"269","inv_rmse_weights","BLUP","RF","EXD3",0.902660615039685
"270","inv_rmse_weights","BLUP","SVR","EXD3",0.882582219420904
"271","inv_rmse_weights","BLUP","DNN-CO","EXD3",0.890994721520776
"272","inv_rmse_weights","BLUP","DNN-SO","EXD3",0.913883437770576
"273","inv_rmse_weights","KNN","BLUP","EXD3",0.977396070077564
"274","inv_rmse_weights","KNN","SVR","EXD3",1.02902834036995
"275","inv_rmse_weights","KNN","DNN-CO","EXD3",1.00600641264779
"276","inv_rmse_weights","KNN","DNN-SO","EXD3",1.02523127403422
"277","inv_rmse_weights","KNN","LM","Linear",1.04701048756836
"278","inv_rmse_weights","KNN","KNN","Linear",1.04701048756836
"279","inv_rmse_weights","KNN","RNR","Linear",1.04701048756836
"280","inv_rmse_weights","KNN","RF","Linear",1.04701048756836
"281","inv_rmse_weights","RNR","BLUP","EXD3",0.995876150877166
"282","inv_rmse_weights","RNR","SVR","EXD3",1.04931395499121
"283","inv_rmse_weights","RNR","DNN-CO","EXD3",1.02275338537203
"284","inv_rmse_weights","RNR","DNN-SO","EXD3",1.0439278933128
"285","inv_rmse_weights","RNR","LM","Linear",1.06287074980392
"286","inv_rmse_weights","RNR","KNN","Linear",1.06287074980392
"287","inv_rmse_weights","RNR","RNR","Linear",1.06287074980392
"288","inv_rmse_weights","RNR","RF","Linear",1.06287074980392
"289","inv_rmse_weights","RF","BLUP","EXD3",0.902937156869333
"290","inv_rmse_weights","RF","RF","EXD3",1.10580707551066
"291","inv_rmse_weights","RF","SVR","EXD3",0.973646780718831
"292","inv_rmse_weights","RF","DNN-CO","EXD3",0.922971980271703
"293","inv_rmse_weights","RF","DNN-SO","EXD3",0.968959461716998
"294","inv_rmse_weights","RF","LM","Linear",1.01704853364041
"295","inv_rmse_weights","RF","KNN","Linear",1.01704853364041
"296","inv_rmse_weights","RF","RNR","Linear",1.01704853364041
"297","inv_rmse_weights","SVR","LM","EXD3",0.94485936016123
"298","inv_rmse_weights","SVR","BLUP","EXD3",0.88223843644039
"299","inv_rmse_weights","SVR","KNN","EXD3",1.02933302961137
"300","inv_rmse_weights","SVR","RNR","EXD3",1.0498121158782
"301","inv_rmse_weights","SVR","RF","EXD3",0.973258114609886
"302","inv_rmse_weights","SVR","SVR","EXD3",0.95888409126624
"303","inv_rmse_weights","SVR","DNN-CO","EXD3",0.918202296508468
"304","inv_rmse_weights","SVR","DNN-SO","EXD3",0.953416360332744
"305","inv_rmse_weights","DNN-CO","LM","EXD3",0.915863449295557
"306","inv_rmse_weights","DNN-CO","BLUP","EXD3",0.891459505287032
"307","inv_rmse_weights","DNN-CO","KNN","EXD3",1.00644035344709
"308","inv_rmse_weights","DNN-CO","RNR","EXD3",1.02316795349831
"309","inv_rmse_weights","DNN-CO","RF","EXD3",0.923351854452078
"310","inv_rmse_weights","DNN-CO","SVR","EXD3",0.919710457061622
"311","inv_rmse_weights","DNN-CO","DNN-CO","EXD3",0.93855975852141
"312","inv_rmse_weights","DNN-CO","DNN-SO","EXD3",0.944447537547864
"313","inv_rmse_weights","DNN-SO","LM","EXD3",0.94889430547982
"314","inv_rmse_weights","DNN-SO","BLUP","EXD3",0.913565532406436
"315","inv_rmse_weights","DNN-SO","KNN","EXD3",1.0255338408978
"316","inv_rmse_weights","DNN-SO","RNR","EXD3",1.04415135522593
"317","inv_rmse_weights","DNN-SO","RF","EXD3",0.968669419298283
"318","inv_rmse_weights","DNN-SO","SVR","EXD3",0.953440386373071
"319","inv_rmse_weights","DNN-SO","DNN-CO","EXD3",0.943460419680349
"320","inv_rmse_weights","DNN-SO","DNN-SO","EXD3",0.983659805556571
